,min change day 1,corr with change day 2
0,0.0,-0.013
0,0.1,-0.013
0,0.2,-0.014
0,0.3,-0.015
0,0.4,-0.015
0,0.5,-0.017
0,0.6,-0.021
0,0.7,-0.025
0,0.8,-0.029
0,0.9,-0.035
0,1.0,-0.042
0,1.1,-0.048
0,1.2,-0.053
0,1.3,-0.057
0,1.4,-0.059
0,1.5,-0.063
0,1.6,-0.068
0,1.7,-0.076
0,1.8,-0.075
0,1.9,-0.083
0,2.0,-0.083
0,2.1,-0.083
0,2.2,-0.087
0,2.3,-0.093
0,2.4,-0.1
0,2.5,-0.107
0,2.6,-0.106
0,2.7,-0.104
0,2.8,-0.101
0,2.9,-0.101
0,3.0,-0.11
0,3.1,-0.117
0,3.2,-0.132
0,3.3,-0.131
0,3.4,-0.144
0,3.5,-0.146
0,3.6,-0.148
0,3.7,-0.15
0,3.8,-0.152
0,3.9,-0.17
0,4.0,-0.169
0,4.1,-0.163
0,4.2,-0.171
0,4.3,-0.177
0,4.4,-0.187
0,4.5,-0.182
0,4.6,-0.189
0,4.7,-0.2
0,4.8,-0.193
0,4.9,-0.213
0,5.0,-0.231
0,5.1,-0.222
0,5.2,-0.255
0,5.3,-0.282
0,5.4,-0.303
0,5.5,-0.322
0,5.6,-0.358
0,5.7,-0.374
0,5.8,-0.375
0,5.9,-0.382
0,6.0,-0.387
0,6.1,-0.387
0,6.2,-0.416
0,6.3,-0.434
0,6.4,-0.443
0,6.5,-0.436
0,6.6,-0.435
0,6.7,-0.424
0,6.8,-0.419
0,6.9,-0.421
0,7.0,-0.42
0,7.1,-0.417
0,7.2,-0.411
0,7.3,-0.436
0,7.4,-0.436
0,7.5,-0.458
0,7.6,-0.456
0,7.7,-0.47
0,7.8,-0.47
0,7.9,-0.469
0,8.0,-0.458
0,8.1,-0.447
0,8.2,-0.456
0,8.3,-0.455
0,8.4,-0.455
0,8.5,-0.455
0,8.6,-0.437
0,8.7,-0.437
0,8.8,-0.416
0,8.9,-0.485
0,9.0,-0.505
0,9.1,-0.454
0,9.2,-0.449
0,9.3,-0.441
0,9.4,-0.431
0,9.5,-0.431
0,9.6,-0.364
0,9.7,-0.365
0,9.8,-0.365
0,9.9,-0.365
0,10.0,-0.27
0,10.1,-0.27
0,10.2,-0.085
0,10.3,-0.085
0,10.4,-0.085
0,10.5,-0.085
0,10.6,-0.072
0,10.7,-0.072
0,10.8,-0.058
0,10.9,-0.058
0,11.0,-0.058
0,11.1,-0.058
0,11.2,-0.058
0,11.3,-0.058
0,11.4,-0.058
0,11.5,-0.058
0,11.6,-0.047
0,11.7,-0.047
0,11.8,-0.047
0,11.9,0.062
0,12.0,0.225
0,12.1,0.225
0,12.2,0.225
0,12.3,0.225
0,12.4,0.291
0,12.5,0.291
0,12.6,0.108
0,12.7,0.108
0,12.8,0.108
0,12.9,0.108
0,13.0,-1.0
0,13.1,-1.0
0,13.2,-1.0
0,13.3,-1.0
0,13.4,-1.0
0,13.5,-1.0
0,13.6,-1.0
0,13.7,-1.0
0,13.8,-1.0
0,13.9,-1.0
0,14.0,-1.0
0,14.1,-1.0
0,14.2,-1.0
0,14.3,-1.0
0,14.4,-1.0
0,14.5,-1.0
0,14.6,-1.0
0,14.7,-1.0
0,14.8,-1.0
0,14.9,-1.0
0,15.0,-1.0
