,date,close,daily change,daily change pct,high to date,off from high
347,1929-05-21,25.700001,0.31,1.221,26.370001,-2.541
348,1929-05-22,24.76,-0.94,-3.658,26.370001,-6.105
349,1929-05-23,25.309999,0.55,2.221,26.370001,-4.02
350,1929-05-24,25.120001,-0.19,-0.751,26.370001,-4.74
351,1929-05-27,24.200001,-0.92,-3.662,26.370001,-8.229
352,1929-05-28,24.59,0.39,1.612,26.370001,-6.75
353,1929-05-29,24.620001,0.03,0.122,26.370001,-6.636
354,1929-05-31,24.83,0.21,0.853,26.370001,-5.84
355,1929-06-03,25.27,0.44,1.772,26.370001,-4.171
356,1929-06-04,25.639999,0.37,1.464,26.370001,-2.768
357,1929-06-05,25.59,-0.05,-0.195,26.370001,-2.958
358,1929-06-06,25.639999,0.05,0.195,26.370001,-2.768
359,1929-06-07,25.530001,-0.11,-0.429,26.370001,-3.185
360,1929-06-10,25.27,-0.26,-1.018,26.370001,-4.171
361,1929-06-11,25.43,0.16,0.633,26.370001,-3.565
362,1929-06-12,25.450001,0.02,0.079,26.370001,-3.489
363,1929-06-13,25.84,0.39,1.532,26.370001,-2.01
364,1929-06-14,25.93,0.09,0.348,26.370001,-1.669
365,1929-06-17,26.41,0.48,1.851,26.41,0.0
366,1929-06-18,26.42,0.01,0.038,26.42,0.0
367,1929-06-19,26.32,-0.1,-0.379,26.42,-0.379
368,1929-06-20,26.469999,0.15,0.57,26.469999,0.0
369,1929-06-21,26.620001,0.15,0.567,26.620001,0.0
370,1929-06-24,26.620001,0.0,0.0,26.620001,0.0
371,1929-06-25,26.9,0.28,1.052,26.9,0.0
372,1929-06-26,27.059999,0.16,0.595,27.059999,0.0
373,1929-06-27,27.110001,0.05,0.185,27.110001,0.0
374,1929-06-28,27.41,0.3,1.107,27.41,0.0
375,1929-07-01,27.77,0.36,1.313,27.77,0.0
376,1929-07-02,28.059999,0.29,1.044,28.059999,0.0
377,1929-07-03,28.18,0.12,0.428,28.18,0.0
378,1929-07-05,28.32,0.14,0.497,28.32,0.0
379,1929-07-08,28.370001,0.05,0.177,28.370001,0.0
380,1929-07-09,28.280001,-0.09,-0.317,28.370001,-0.317
381,1929-07-10,28.200001,-0.08,-0.283,28.370001,-0.599
382,1929-07-11,28.26,0.06,0.213,28.370001,-0.388
383,1929-07-12,28.57,0.31,1.097,28.57,0.0
384,1929-07-15,28.450001,-0.12,-0.42,28.57,-0.42
385,1929-07-16,28.65,0.2,0.703,28.65,0.0
386,1929-07-17,28.719999,0.07,0.244,28.719999,0.0
387,1929-07-18,28.66,-0.06,-0.209,28.719999,-0.209
388,1929-07-19,28.76,0.1,0.349,28.76,0.0
389,1929-07-22,28.43,-0.33,-1.147,28.76,-1.147
390,1929-07-23,28.83,0.4,1.407,28.83,0.0
391,1929-07-24,28.639999,-0.19,-0.659,28.83,-0.659
392,1929-07-25,28.77,0.13,0.454,28.83,-0.208
393,1929-07-26,28.66,-0.11,-0.382,28.83,-0.59
394,1929-07-29,28.18,-0.48,-1.675,28.83,-2.255
395,1929-07-30,28.5,0.32,1.136,28.83,-1.145
396,1929-07-31,28.879999,0.38,1.333,28.879999,0.0
397,1929-08-01,29.08,0.2,0.693,29.08,0.0
398,1929-08-02,29.559999,0.48,1.651,29.559999,0.0
