date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1955-01-03,36.75,0.77,2.14,36.75,0.0,False,0,0,0.0,0.0,0.0,0.0
1955-01-04,36.42,-0.33,-0.9,36.75,-0.9,False,0,0,0.0,0.0,0.0,0.0
1955-01-05,35.52,-0.9,-2.47,36.75,-3.35,False,0,0,0.0,0.0,0.0,0.0
1955-01-06,35.04,-0.48,-1.35,36.75,-4.65,False,0,0,0.0,0.0,0.0,0.0
1955-01-07,35.33,0.29,0.83,36.75,-3.86,False,0,0,0.0,0.0,0.0,0.0
1955-01-10,35.79,0.46,1.3,36.75,-2.61,False,0,0,0.0,0.0,0.0,0.0
1955-01-11,35.68,-0.11,-0.31,36.75,-2.91,False,0,0,0.0,0.0,0.0,0.0
1955-01-12,35.58,-0.1,-0.28,36.75,-3.18,False,0,0,0.0,0.0,0.0,0.0
1955-01-13,35.43,-0.15,-0.42,36.75,-3.59,False,0,0,0.0,0.0,0.0,0.0
1955-01-14,35.28,-0.15,-0.42,36.75,-4.0,False,0,0,0.0,0.0,0.0,0.0
1955-01-17,34.58,-0.7,-1.98,36.75,-5.9,False,0,0,0.0,0.0,0.0,0.0
1955-01-18,34.8,0.22,0.64,36.75,-5.31,False,0,0,0.0,0.0,0.0,0.0
1955-01-19,34.96,0.16,0.46,36.75,-4.87,False,0,0,0.0,0.0,0.0,0.0
1955-01-20,35.13,0.17,0.49,36.75,-4.41,False,0,0,0.0,0.0,0.0,0.0
1955-01-21,35.44,0.31,0.88,36.75,-3.56,False,0,0,0.0,0.0,0.0,0.0
1955-01-24,35.52,0.08,0.23,36.75,-3.35,False,0,0,0.0,0.0,0.0,0.0
1955-01-25,35.51,-0.01,-0.03,36.75,-3.37,False,0,0,0.0,0.0,0.0,0.0
1955-01-26,35.95,0.44,1.24,36.75,-2.18,False,0,0,0.0,0.0,0.0,0.0
1955-01-27,35.99,0.04,0.11,36.75,-2.07,False,0,0,0.0,0.0,0.0,0.0
1955-01-28,36.19,0.2,0.56,36.75,-1.52,False,0,0,0.0,0.0,0.0,0.0
1955-01-31,36.63,0.44,1.22,36.75,-0.33,False,0,0,0.0,0.0,0.0,0.0
1955-02-01,36.72,0.09,0.25,36.75,-0.08,False,0,0,0.0,0.0,0.0,0.0
1955-02-02,36.61,-0.11,-0.3,36.75,-0.38,False,0,0,0.0,0.0,0.0,0.0
1955-02-03,36.44,-0.17,-0.46,36.75,-0.84,False,0,0,0.0,0.0,0.0,0.0
1955-02-04,36.96,0.52,1.43,36.96,0.0,False,0,0,0.0,0.0,0.0,0.0
