time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
1,1928,1929,1,17.76,24.809998999999998,39.69594031531529,39.69594031531529
1,1928,1929,2,17.530001000000002,25.84,47.404441106420904,47.404441106420904
1,1928,1929,3,17.299999,25.83,49.30636701192872,49.30636701192872
1,1928,1929,4,18.91,24.879998999999998,31.570592279217323,31.570592279217323
1,1928,1929,5,19.780001000000002,25.99,31.395342194370947,31.395342194370947
1,1928,1929,6,20.07,25.27,25.90931738913802,25.90931738913802
1,1928,1929,7,18.98,27.77,46.31190727081138,46.31190727081138
1,1928,1929,8,19.42,29.08,49.74253347064879,49.74253347064879
1,1928,1929,9,20.969998999999998,31.82,51.74058901957985,51.74058901957985
1,1928,1929,10,21.360001,29.98,40.355798672481335,40.355798672481335
1,1928,1929,11,21.99,22.879998999999998,4.047289677125954,4.047289677125954
1,1928,1929,12,23.85,20.950001,-12.1593249475891,-12.1593249475891
1,1929,1930,1,24.809998999999998,21.18,-14.631193657041253,-14.631193657041253
1,1929,1930,2,25.84,22.74,-11.996904024767808,-11.996904024767808
1,1929,1930,3,25.83,23.360001,-9.56252032520325,-9.56252032520325
1,1929,1930,4,24.879998999999998,25.370001000000002,1.9694614939494315,1.9694614939494315
1,1929,1930,5,25.99,24.299999,-6.502504809542131,-6.502504809542131
1,1929,1930,6,25.27,24.4,-3.4428175702413966,-3.4428175702413966
1,1929,1930,7,27.77,20.24,-27.11559236586245,-27.11559236586245
1,1929,1930,8,29.08,21.110001,-27.40714924346629,-27.40714924346629
1,1929,1930,9,31.82,21.379998999999998,-32.809556882463866,-32.809556882463866
1,1929,1930,10,29.98,19.42,-35.22348232154769,-35.22348232154769
1,1929,1930,11,22.879998999999998,17.129998999999998,-25.131119979506998,-25.131119979506998
1,1929,1930,12,20.950001,16.799999,-19.809077813409182,-19.809077813409182
1,1930,1931,1,21.18,15.85,-25.165250236071767,-25.165250236071767
1,1930,1931,2,22.74,16.16,-28.935795954265608,-28.935795954265608
1,1930,1931,3,23.360001,17.52,-25.000003210616306,-25.000003210616306
1,1930,1931,4,25.370001000000002,16.52,-34.88372349689699,-34.88372349689699
1,1930,1931,5,24.299999,14.65,-39.711931675388136,-39.711931675388136
1,1930,1931,6,24.4,12.4,-49.18032786885246,-49.18032786885246
1,1930,1931,7,20.24,15.07,-25.543478260869556,-25.543478260869556
1,1930,1931,8,21.110001,13.93,-34.012319563603995,-34.012319563603995
1,1930,1931,9,21.379998999999998,13.92,-34.892419779813835,-34.892419779813835
1,1930,1931,10,19.42,9.53,-50.92687950566427,-50.92687950566427
1,1930,1931,11,17.129998999999998,10.5,-38.70402444273346,-38.70402444273346
