,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
7106,1956-06-05,45.86,0.01,0.02,48.87,-6.16,True,1,360,-45.86,-15188.79,16509.6,1320.81
7107,1956-06-06,45.63,-0.23,-0.5,48.87,-6.63,True,1,361,-45.63,-15234.42,16472.43,1238.01
7108,1956-06-07,45.99,0.36,0.79,48.87,-5.89,True,1,362,-45.99,-15280.41,16648.38,1367.97
7109,1956-06-08,45.14,-0.85,-1.85,48.87,-7.63,True,1,363,-45.14,-15325.55,16385.82,1060.27
7110,1956-06-11,45.71,0.57,1.26,48.87,-6.47,True,1,364,-45.71,-15371.26,16638.44,1267.18
7111,1956-06-12,46.36,0.65,1.42,48.87,-5.14,True,1,365,-46.36,-15417.62,16921.4,1503.78
7112,1956-06-13,46.42,0.06,0.13,48.87,-5.01,True,1,366,-46.42,-15464.04,16989.72,1525.68
7113,1956-06-14,46.31,-0.11,-0.24,48.87,-5.24,True,1,367,-46.31,-15510.35,16995.77,1485.42
7114,1956-06-15,46.37,0.06,0.13,48.87,-5.12,True,1,368,-46.37,-15556.72,17064.16,1507.44
7115,1956-06-18,46.17,-0.2,-0.43,48.87,-5.52,True,1,369,-46.17,-15602.89,17036.73,1433.84
7116,1956-06-19,46.22,0.05,0.11,48.87,-5.42,True,1,370,-46.22,-15649.11,17101.4,1452.29
7117,1956-06-20,46.41,0.19,0.41,48.87,-5.03,True,1,371,-46.41,-15695.52,17218.11,1522.59
7118,1956-06-21,46.73,0.32,0.69,48.87,-4.38,True,1,372,-46.73,-15742.25,17383.56,1641.31
7119,1956-06-22,46.59,-0.14,-0.3,48.87,-4.66,True,1,373,-46.59,-15788.84,17378.07,1589.23
7120,1956-06-25,46.41,-0.18,-0.39,48.87,-5.03,True,1,374,-46.41,-15835.25,17357.34,1522.09
7121,1956-06-26,46.72,0.31,0.67,48.87,-4.4,True,1,375,-46.72,-15881.97,17520.0,1638.03
7122,1956-06-27,47.07,0.35,0.75,48.87,-3.68,True,1,376,-47.07,-15929.04,17698.32,1769.28
7123,1956-06-28,47.13,0.06,0.13,48.87,-3.56,True,1,377,-47.13,-15976.17,17768.01,1791.84
7124,1956-06-29,46.97,-0.16,-0.34,48.87,-3.89,True,1,378,-46.97,-16023.14,17754.66,1731.52
7125,1956-07-02,46.93,-0.04,-0.08,48.87,-3.97,True,1,379,-46.93,-16070.07,17786.47,1716.4
7126,1956-07-03,47.32,0.39,0.83,48.87,-3.17,True,1,380,-47.32,-16117.39,17981.6,1864.21
7127,1956-07-05,47.8,0.48,1.01,48.87,-2.19,True,1,381,-47.8,-16165.19,18211.8,2046.61
7128,1956-07-06,48.04,0.24,0.5,48.87,-1.7,True,1,382,-48.04,-16213.23,18351.28,2138.05
7129,1956-07-09,48.25,0.21,0.44,48.87,-1.27,True,1,383,-48.25,-16261.48,18479.75,2218.27
7130,1956-07-10,48.54,0.29,0.6,48.87,-0.68,True,1,384,-48.54,-16310.02,18639.36,2329.34
7131,1956-07-11,48.69,0.15,0.31,48.87,-0.37,True,1,385,-48.69,-16358.71,18745.65,2386.94
7132,1956-07-12,48.58,-0.11,-0.23,48.87,-0.59,True,1,386,-48.58,-16407.29,18751.88,2344.59
7133,1956-07-13,48.72,0.14,0.29,48.87,-0.31,True,1,387,-48.72,-16456.01,18854.64,2398.63
7134,1956-07-16,49.14,0.42,0.86,49.14,0.0,True,1,388,-49.14,-16505.15,19066.32,2561.17
7135,1956-07-17,49.31,0.17,0.35,49.31,0.0,True,1,389,-49.31,-16554.46,19181.59,2627.13
7136,1956-07-18,49.3,-0.01,-0.02,49.31,-0.02,True,1,390,-49.3,-16603.76,19227.0,2623.24
7137,1956-07-19,49.32,0.02,0.04,49.32,0.0,True,1,391,-49.32,-16653.08,19284.12,2631.04
7138,1956-07-20,49.35,0.03,0.06,49.35,0.0,True,1,392,-49.35,-16702.43,19345.2,2642.77
7139,1956-07-23,49.33,-0.02,-0.04,49.35,-0.04,True,1,393,-49.33,-16751.76,19386.69,2634.93
7140,1956-07-24,49.33,0.0,0.0,49.35,-0.04,True,1,394,-49.33,-16801.09,19436.02,2634.93
7141,1956-07-25,49.44,0.11,0.22,49.44,0.0,True,1,395,-49.44,-16850.53,19528.8,2678.27
7142,1956-07-26,49.48,0.04,0.08,49.48,0.0,True,1,396,-49.48,-16900.01,19594.08,2694.07
7143,1956-07-27,49.08,-0.4,-0.81,49.48,-0.81,True,1,397,-49.08,-16949.09,19484.76,2535.67
7144,1956-07-30,49.0,-0.08,-0.16,49.48,-0.97,True,1,398,-49.0,-16998.09,19502.0,2503.91
7145,1956-07-31,49.39,0.39,0.8,49.48,-0.18,True,1,399,-49.39,-17047.48,19706.61,2659.13
7146,1956-08-01,49.62,0.23,0.47,49.62,0.0,True,1,400,-49.62,-17097.1,19848.0,2750.9
7147,1956-08-02,49.64,0.02,0.04,49.64,0.0,True,1,401,-49.64,-17146.74,19905.64,2758.9
7148,1956-08-03,49.64,0.0,0.0,49.64,0.0,True,1,402,-49.64,-17196.38,19955.28,2758.9
7149,1956-08-06,48.96,-0.68,-1.37,49.64,-1.37,True,1,403,-48.96,-17245.34,19730.88,2485.54
7150,1956-08-07,49.16,0.2,0.41,49.64,-0.97,True,1,404,-49.16,-17294.5,19860.64,2566.14
7151,1956-08-08,49.36,0.2,0.41,49.64,-0.56,True,1,405,-49.36,-17343.86,19990.8,2646.94
7152,1956-08-09,49.32,-0.04,-0.08,49.64,-0.64,True,1,406,-49.32,-17393.18,20023.92,2630.74
7153,1956-08-10,49.09,-0.23,-0.47,49.64,-1.11,True,1,407,-49.09,-17442.27,19979.63,2537.36
7154,1956-08-13,48.58,-0.51,-1.04,49.64,-2.13,True,1,408,-48.58,-17490.85,19820.64,2329.79
7155,1956-08-14,48.0,-0.58,-1.19,49.64,-3.3,True,1,409,-48.0,-17538.85,19632.0,2093.15
7156,1956-08-15,48.99,0.99,2.06,49.64,-1.31,True,1,410,-48.99,-17587.84,20085.9,2498.06
7157,1956-08-16,48.88,-0.11,-0.22,49.64,-1.53,True,1,411,-48.88,-17636.72,20089.68,2452.96
7158,1956-08-17,48.82,-0.06,-0.12,49.64,-1.65,True,1,412,-48.82,-17685.54,20113.84,2428.3
7159,1956-08-20,48.25,-0.57,-1.17,49.64,-2.8,True,1,413,-48.25,-17733.79,19927.25,2193.46
7160,1956-08-21,47.89,-0.36,-0.75,49.64,-3.52,True,1,414,-47.89,-17781.68,19826.46,2044.78
7161,1956-08-22,47.42,-0.47,-0.98,49.64,-4.47,True,1,415,-47.42,-17829.1,19679.3,1850.2
7162,1956-08-23,48.0,0.58,1.22,49.64,-3.3,True,1,416,-48.0,-17877.1,19968.0,2090.9
7163,1956-08-24,47.95,-0.05,-0.1,49.64,-3.4,True,1,417,-47.95,-17925.05,19995.15,2070.1
7164,1956-08-27,47.66,-0.29,-0.6,49.64,-3.99,True,1,418,-47.66,-17972.71,19921.88,1949.17
7165,1956-08-28,47.57,-0.09,-0.19,49.64,-4.17,True,1,419,-47.57,-18020.28,19931.83,1911.55
7166,1956-08-29,47.36,-0.21,-0.44,49.64,-4.59,True,1,420,-47.36,-18067.64,19891.2,1823.56
