date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1956-10-10,46.84,0.64,1.38,49.64,-5.64,False,0,0,0.0,0.0,0.0,0.0
1956-10-11,46.81,-0.03,-0.06,49.64,-5.7,False,0,0,0.0,0.0,0.0,0.0
1956-10-12,47.0,0.19,0.41,49.64,-5.32,False,0,0,0.0,0.0,0.0,0.0
1956-10-15,46.86,-0.14,-0.3,49.64,-5.6,False,0,0,0.0,0.0,0.0,0.0
1956-10-16,46.62,-0.24,-0.51,49.64,-6.08,False,0,0,0.0,0.0,0.0,0.0
1956-10-17,46.26,-0.36,-0.77,49.64,-6.81,False,0,0,0.0,0.0,0.0,0.0
1956-10-18,46.34,0.08,0.17,49.64,-6.65,False,0,0,0.0,0.0,0.0,0.0
1956-10-19,46.24,-0.1,-0.22,49.64,-6.85,False,0,0,0.0,0.0,0.0,0.0
1956-10-22,46.23,-0.01,-0.02,49.64,-6.87,False,0,0,0.0,0.0,0.0,0.0
1956-10-23,46.12,-0.11,-0.24,49.64,-7.09,False,0,0,0.0,0.0,0.0,0.0
1956-10-24,45.93,-0.19,-0.41,49.64,-7.47,False,0,0,0.0,0.0,0.0,0.0
1956-10-25,45.85,-0.08,-0.17,49.64,-7.64,False,0,0,0.0,0.0,0.0,0.0
1956-10-26,46.27,0.42,0.92,49.64,-6.79,False,0,0,0.0,0.0,0.0,0.0
1956-10-29,46.4,0.13,0.28,49.64,-6.53,False,0,0,0.0,0.0,0.0,0.0
1956-10-30,46.37,-0.03,-0.06,49.64,-6.59,False,0,0,0.0,0.0,0.0,0.0
1956-10-31,45.58,-0.79,-1.7,49.64,-8.18,False,0,0,0.0,0.0,0.0,0.0
1956-11-01,46.52,0.94,2.06,49.64,-6.28,False,0,0,0.0,0.0,0.0,0.0
1956-11-02,46.98,0.46,0.99,49.64,-5.36,False,0,0,0.0,0.0,0.0,0.0
1956-11-05,47.6,0.62,1.32,49.64,-4.11,False,0,0,0.0,0.0,0.0,0.0
1956-11-07,47.11,-0.49,-1.03,49.64,-5.1,False,0,0,0.0,0.0,0.0,0.0
1956-11-08,46.73,-0.38,-0.81,49.64,-5.86,False,0,0,0.0,0.0,0.0,0.0
1956-11-09,46.34,-0.39,-0.84,49.64,-6.65,False,0,0,0.0,0.0,0.0,0.0
1956-11-12,46.49,0.15,0.32,49.64,-6.35,False,0,0,0.0,0.0,0.0,0.0
1956-11-13,46.27,-0.22,-0.47,49.64,-6.79,False,0,0,0.0,0.0,0.0,0.0
1956-11-14,46.01,-0.26,-0.56,49.64,-7.31,False,0,0,0.0,0.0,0.0,0.0
1956-11-15,45.72,-0.29,-0.63,49.64,-7.9,False,0,0,0.0,0.0,0.0,0.0
1956-11-16,45.74,0.02,0.04,49.64,-7.86,False,0,0,0.0,0.0,0.0,0.0
1956-11-19,45.29,-0.45,-0.98,49.64,-8.76,False,0,0,0.0,0.0,0.0,0.0
1956-11-20,44.89,-0.4,-0.88,49.64,-9.57,False,0,0,0.0,0.0,0.0,0.0
1956-11-21,44.67,-0.22,-0.49,49.64,-10.01,False,0,0,0.0,0.0,0.0,0.0
1956-11-23,45.14,0.47,1.05,49.64,-9.06,False,0,0,0.0,0.0,0.0,0.0
1956-11-26,44.87,-0.27,-0.6,49.64,-9.61,False,0,0,0.0,0.0,0.0,0.0
1956-11-27,44.91,0.04,0.09,49.64,-9.53,False,0,0,0.0,0.0,0.0,0.0
1956-11-28,44.43,-0.48,-1.07,49.64,-10.5,False,0,0,0.0,0.0,0.0,0.0
1956-11-29,44.38,-0.05,-0.11,49.64,-10.6,False,0,0,0.0,0.0,0.0,0.0
1956-11-30,45.08,0.7,1.58,49.64,-9.19,False,0,0,0.0,0.0,0.0,0.0
1956-12-03,45.98,0.9,2.0,49.64,-7.37,False,0,0,0.0,0.0,0.0,0.0
1956-12-04,45.84,-0.14,-0.3,49.64,-7.66,False,0,0,0.0,0.0,0.0,0.0
1956-12-05,46.39,0.55,1.2,49.64,-6.55,False,0,0,0.0,0.0,0.0,0.0
