dip,buy days,buy days (%),return (%)
-40.3,413,2.5100000000000002,8.42
-40.2,417,2.54,8.41
-40.1,420,2.55,8.4
-40.0,428,2.6,8.39
-39.9,441,2.68,8.38
-39.8,445,2.71,8.37
-39.7,454,2.76,8.35
-39.6,458,2.78,8.35
-39.5,464,2.82,8.35
-39.4,466,2.83,8.35
-39.3,469,2.85,8.34
-39.2,476,2.8899999999999997,8.33
-39.1,482,2.93,8.32
-39.0,488,2.97,8.309999999999999
-38.9,492,2.9899999999999998,8.309999999999999
-38.8,499,3.0300000000000002,8.290000000000001
-38.7,501,3.05,8.28
-38.6,502,3.05,8.28
-38.5,506,3.08,8.27
-38.4,507,3.08,8.27
-38.3,508,3.09,8.27
-38.2,510,3.1,8.27
-38.1,513,3.1199999999999997,8.260000000000002
-38.0,514,3.1300000000000003,8.260000000000002
-37.9,517,3.1399999999999997,8.25
-37.8,520,3.16,8.24
-37.7,524,3.19,8.24
-37.6,527,3.2,8.24
-37.5,531,3.2300000000000004,8.23
-37.4,535,3.25,8.23
-37.3,536,3.26,8.24
-37.2,537,3.27,8.24
-37.1,537,3.27,8.24
-37.0,540,3.2800000000000002,8.24
-36.9,544,3.3099999999999996,8.23
-36.8,544,3.3099999999999996,8.23
-36.7,548,3.3300000000000005,8.23
-36.6,551,3.35,8.219999999999999
-36.5,553,3.36,8.219999999999999
-36.4,555,3.37,8.219999999999999
-36.3,559,3.4000000000000004,8.219999999999999
-36.2,564,3.4299999999999997,8.219999999999999
-36.1,567,3.45,8.21
-36.0,572,3.4799999999999995,8.19
-35.9,577,3.51,8.200000000000001
-35.8,581,3.53,8.19
-35.7,588,3.58,8.19
-35.6,593,3.61,8.18
-35.5,596,3.62,8.17
-35.4,601,3.65,8.17
-35.3,605,3.6799999999999997,8.16
-35.2,613,3.73,8.14
-35.1,620,3.7699999999999996,8.12
-35.0,622,3.7800000000000002,8.12
-34.9,627,3.81,8.1
-34.8,631,3.84,8.1
-34.7,638,3.88,8.08
-34.6,646,3.93,8.08
-34.5,651,3.9600000000000004,8.07
-34.4,654,3.9800000000000004,8.08
-34.3,665,4.04,8.07
-34.2,670,4.07,8.06
-34.1,674,4.1000000000000005,8.06
-34.0,680,4.130000000000001,8.05
-33.9,684,4.16,8.04
-33.8,689,4.19,8.04
-33.7,692,4.21,8.03
-33.6,694,4.22,8.03
-33.5,699,4.25,8.02
-33.4,704,4.279999999999999,8.02
-33.3,711,4.32,8.01
-33.2,718,4.37,8.0
-33.1,723,4.3999999999999995,8.0
-33.0,729,4.43,8.0
-32.9,733,4.46,8.0
-32.8,739,4.49,8.0
-32.7,747,4.54,7.99
-32.6,758,4.61,7.9799999999999995
-32.5,764,4.65,7.9799999999999995
-32.4,771,4.6899999999999995,7.9799999999999995
-32.3,776,4.72,7.960000000000001
-32.2,788,4.79,7.960000000000001
-32.1,795,4.83,7.960000000000001
-32.0,802,4.88,7.95
-31.9,813,4.9399999999999995,7.95
-31.8,822,5.0,7.9399999999999995
-31.7,831,5.050000000000001,7.9399999999999995
-31.6,840,5.11,7.9399999999999995
-31.5,849,5.16,7.95
-31.4,859,5.220000000000001,7.9399999999999995
-31.3,866,5.27,7.9399999999999995
-31.2,880,5.35,7.93
-31.1,890,5.41,7.920000000000001
-31.0,902,5.48,7.91
-30.9,907,5.52,7.91
-30.8,909,5.53,7.91
-30.7,921,5.6000000000000005,7.9
-30.6,931,5.66,7.89
-30.5,940,5.72,7.89
-30.4,950,5.779999999999999,7.89
-30.3,966,5.87,7.89
-30.2,986,6.0,7.89
-30.1,997,6.0600000000000005,7.89
-30.0,1010,6.140000000000001,7.89
-29.9,1021,6.21,7.89
-29.8,1034,6.29,7.88
-29.7,1045,6.35,7.88
-29.6,1058,6.43,7.870000000000001
-29.5,1073,6.52,7.870000000000001
-29.4,1079,6.5600000000000005,7.86
-29.3,1095,6.660000000000001,7.86
-29.2,1107,6.7299999999999995,7.85
